source_file,method_id,eval_type,train_dataset,test_dataset,model,n_subjects,mean_acc,mean_precision_macro,mean_f1_macro,mean_bac,mean_kappa
loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_cross_cho2017_to_lee2019_csp_lda.csv,20260613_sfreq100_sessionea_session_ea_feature_coral,base,cho2017,lee2019,session_ea_feature_coral,54,70.0185,70.0543,70.002,70.0185,0.4004
loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_cross_lee2019_to_cho2017_csp_lda.csv,20260613_sfreq100_sessionea_session_ea_feature_coral,base,lee2019,cho2017,session_ea_feature_coral,52,65.5577,65.6006,65.526,65.5577,0.3112
loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_mmd_resample_cross_cho2017_to_lee2019_csp_lda.csv,20260613_sfreq100_sessionea_session_ea_feature_coral_mmd_resample,base,cho2017,lee2019,session_ea_feature_coral_mmd_resample,54,70.1389,70.1706,70.1259,70.1389,0.4028
loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_mmd_resample_cross_lee2019_to_cho2017_csp_lda.csv,20260613_sfreq100_sessionea_session_ea_feature_coral_mmd_resample,base,lee2019,cho2017,session_ea_feature_coral_mmd_resample,52,65.5977,65.6333,65.5758,65.5977,0.312
loso_results_20260615_sfreq100_conformer_cross_archbaseline_cross_cho2017_to_lee2019_conformer.csv,20260615_sfreq100_conformer,base,cho2017,lee2019,conformer,54,50.0093,,,50.0093,0.0002
loso_results_20260615_sfreq100_conformer_cross_archbaseline_cross_lee2019_to_cho2017_conformer.csv,20260615_sfreq100_conformer,base,lee2019,cho2017,conformer,52,52.9442,,,52.9442,0.0589
loso_results_20260615_sfreq100_conformer_datasetea_subjectea_cross_cho2017_to_lee2019_conformer.csv,20260615_sfreq100_conformer_datasetea_subjectea,base,cho2017,lee2019,conformer,54,71.6204,,,71.6204,0.4324
loso_results_20260615_sfreq100_conformer_datasetea_subjectea_cross_lee2019_to_cho2017_conformer.csv,20260615_sfreq100_conformer_datasetea_subjectea,base,lee2019,cho2017,conformer,52,67.9673,,,67.9673,0.3593
loso_results_20260615_sfreq100_conformer_ea_tent_cross_cho2017_to_lee2019_conformer.csv,20260615_sfreq100_conformer_ea_tent,base,cho2017,lee2019,conformer,54,63.4907,,,63.4907,0.2698
loso_results_20260615_sfreq100_conformer_ea_tent_cross_cho2017_to_lee2019_conformer.csv,20260615_sfreq100_conformer_ea_tent,tent,cho2017,lee2019,conformer,54,65.4259,,,65.4259,0.3085
loso_results_20260615_sfreq100_conformer_ea_tent_cross_lee2019_to_cho2017_conformer.csv,20260615_sfreq100_conformer_ea_tent,base,lee2019,cho2017,conformer,52,63.1981,,,63.1981,0.2639
loso_results_20260615_sfreq100_conformer_ea_tent_cross_lee2019_to_cho2017_conformer.csv,20260615_sfreq100_conformer_ea_tent,tent,lee2019,cho2017,conformer,52,60.0558,,,60.0558,0.2011
loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv,20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5,base,cho2017,lee2019,cspnet,54,73.2407,,,73.2407,0.4648
loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv,20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5,base,lee2019,cho2017,cspnet,52,69.2077,,,69.2077,0.3842
loso_results_20260615_sfreq100_eegnet_cross_archbaseline_cross_cho2017_to_lee2019_eegnet.csv,20260615_sfreq100_eegnet,base,cho2017,lee2019,eegnet,54,54.6204,,,54.6204,0.0924
