dataset,subject,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,17,54.166666666666664,54.666666666666664,48.833333333333336,53.666666666666664,53.0,True,False,5.833333333333329,False,4.166666666666664,False,5.333333333333329,False,4.833333333333329,False,True,0,54.666666666666664,EA,5.833333333333329
cho2017,18,72.66666666666667,70.16666666666667,64.66666666666667,70.0,71.33333333333333,True,True,5.5,True,6.666666666666657,True,8.0,True,5.333333333333329,True,False,4,72.66666666666667,AdaBN,8.0
cho2017,19,70.5,71.0,60.0,70.16666666666667,69.16666666666667,True,True,11.0,False,9.166666666666671,True,10.5,True,10.166666666666671,True,False,3,71.0,EA,11.0
cho2017,20,68.66666666666667,66.5,56.5,67.83333333333333,64.83333333333333,True,False,10.0,False,8.333333333333329,False,12.166666666666671,False,11.333333333333329,False,True,0,68.66666666666667,AdaBN,12.166666666666671
cho2017,21,81.66666666666667,78.66666666666667,67.83333333333333,83.16666666666667,78.66666666666667,True,True,10.833333333333343,True,10.833333333333343,True,13.833333333333343,True,15.333333333333343,True,False,4,83.16666666666667,Snapshot,15.333333333333343
cho2017,22,72.66666666666667,71.5,71.5,75.83333333333333,70.66666666666667,False,True,0.0,True,-0.8333333333333286,True,1.1666666666666714,True,4.333333333333329,True,False,4,75.83333333333333,Snapshot,4.333333333333329
cho2017,23,86.66666666666667,85.83333333333333,72.83333333333333,85.5,85.33333333333333,False,True,13.0,True,12.5,True,13.833333333333343,True,12.666666666666671,True,False,4,86.66666666666667,AdaBN,13.833333333333343
cho2017,24,74.0,71.83333333333333,74.0,72.33333333333333,73.66666666666667,False,True,-2.1666666666666714,True,-0.3333333333333286,True,0.0,True,-1.6666666666666714,True,False,4,74.0,AdaBN,0.0
cho2017,25,78.83333333333333,78.33333333333333,73.5,79.5,79.33333333333333,False,True,4.833333333333329,True,5.833333333333329,True,5.333333333333329,True,6.0,True,False,4,79.5,Snapshot,6.0
cho2017,26,74.66666666666667,70.0,68.83333333333333,69.33333333333333,70.33333333333333,True,True,1.1666666666666714,True,1.5,True,5.833333333333343,False,0.5,True,False,3,74.66666666666667,AdaBN,5.833333333333343
