"group","baseline","candidate","dataset","subject","baseline_acc","candidate_acc","delta"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","18","86","85","-1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","19","81.5","84.5","3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","20","74.5","73","-1.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","21","86","83","-3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","22","65","70","5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","23","77.5","76.5","-1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","24","53.5","54.5","1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","25","59","56","-3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","26","66","63.5","-2.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","27","54.5","55.5","1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","28","90.5","92","1.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","29","66","71.5","5.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","30","72","71","-1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","31","62","67.5","5.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","32","96","96","0"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","33","95","93.5","-1.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","34","46","45","-1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","35","50.5","54","3.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","36","92.5","95","2.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","37","96.5","96","-0.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","38","61.5","57.5","-4"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","39","82.5","87","4.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","40","60","69","9"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","41","56.5","59.5","3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","42","68.5","70.5","2"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","43","72.5","74.5","2"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","44","91.5","87","-4.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","45","81","77","-4"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","46","78","74.5","-3.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","47","70.5","76.5","6"
