dataset,subject,backbone,method,acc
lee2019,20,Conformer,EA,73.5
lee2019,21,Conformer,EA,82.0
lee2019,22,Conformer,EA,63.5
lee2019,23,Conformer,EA,77.0
lee2019,24,Conformer,EA,58.5
lee2019,25,Conformer,EA,63.5
lee2019,26,Conformer,EA,66.5
lee2019,27,Conformer,EA,51.0
lee2019,28,Conformer,EA,81.0
lee2019,29,Conformer,EA,66.5
lee2019,30,Conformer,EA,60.0
lee2019,31,Conformer,EA,70.0
lee2019,32,Conformer,EA,92.0
lee2019,33,Conformer,EA,93.5
lee2019,34,Conformer,EA,55.0
lee2019,35,Conformer,EA,49.5
lee2019,36,Conformer,EA,96.0
lee2019,37,Conformer,EA,94.5
lee2019,38,Conformer,EA,57.5
lee2019,39,Conformer,EA,79.5
lee2019,40,Conformer,EA,62.0
lee2019,41,Conformer,EA,60.5
lee2019,42,Conformer,EA,67.5
lee2019,43,Conformer,EA,77.5
lee2019,44,Conformer,EA,85.5
lee2019,45,Conformer,EA,84.0
lee2019,46,Conformer,EA,74.0
lee2019,47,Conformer,EA,72.5
lee2019,48,Conformer,EA,55.5
lee2019,49,Conformer,EA,67.5
lee2019,50,Conformer,EA,54.5
lee2019,51,Conformer,EA,58.5
lee2019,52,Conformer,EA,62.0
lee2019,53,Conformer,EA,63.0
lee2019,54,Conformer,EA,65.0
cho2017,1,EEGNet,TENT,66.5
cho2017,2,EEGNet,TENT,55.0
cho2017,3,EEGNet,TENT,93.0
cho2017,4,EEGNet,TENT,90.0
cho2017,5,EEGNet,TENT,66.5
cho2017,6,EEGNet,TENT,63.5
cho2017,7,EEGNet,TENT,61.25
cho2017,8,EEGNet,TENT,56.0
cho2017,9,EEGNet,TENT,72.9167
cho2017,10,EEGNet,TENT,85.0
cho2017,11,EEGNet,TENT,75.5
cho2017,12,EEGNet,TENT,69.5
cho2017,13,EEGNet,TENT,49.5
cho2017,14,EEGNet,TENT,91.5
cho2017,15,EEGNet,TENT,84.5
cho2017,16,EEGNet,TENT,61.0
cho2017,17,EEGNet,TENT,53.0
cho2017,18,EEGNet,TENT,77.5
cho2017,19,EEGNet,TENT,68.0
cho2017,20,EEGNet,TENT,63.0
cho2017,21,EEGNet,TENT,75.5
cho2017,22,EEGNet,TENT,65.5
cho2017,23,EEGNet,TENT,79.0
cho2017,24,EEGNet,TENT,70.5
cho2017,25,EEGNet,TENT,78.0
cho2017,26,EEGNet,TENT,75.5
cho2017,27,EEGNet,TENT,51.5
cho2017,28,EEGNet,TENT,49.0
cho2017,29,EEGNet,TENT,58.5
cho2017,30,EEGNet,TENT,66.5
cho2017,31,EEGNet,TENT,72.5
cho2017,32,EEGNet,TENT,54.0
cho2017,33,EEGNet,TENT,72.5
cho2017,34,EEGNet,TENT,56.5
cho2017,35,EEGNet,TENT,59.5
cho2017,36,EEGNet,TENT,67.5
cho2017,37,EEGNet,TENT,51.5
cho2017,38,EEGNet,TENT,69.0
cho2017,39,EEGNet,TENT,72.5
cho2017,40,EEGNet,TENT,49.5
cho2017,41,EEGNet,TENT,95.0
cho2017,42,EEGNet,TENT,62.5
cho2017,43,EEGNet,TENT,96.5
cho2017,44,EEGNet,TENT,75.5
cho2017,45,EEGNet,TENT,70.0
cho2017,46,EEGNet,TENT,75.8333
cho2017,47,EEGNet,TENT,70.0
cho2017,48,EEGNet,TENT,96.0
cho2017,49,EEGNet,TENT,62.5
cho2017,50,EEGNet,TENT,69.0
cho2017,51,EEGNet,TENT,62.0
cho2017,52,EEGNet,TENT,76.5
lee2019,1,EEGNet,TENT,85.5
lee2019,2,EEGNet,TENT,74.5
lee2019,3,EEGNet,TENT,88.5
lee2019,4,EEGNet,TENT,57.0
lee2019,5,EEGNet,TENT,91.0
lee2019,6,EEGNet,TENT,69.5
lee2019,7,EEGNet,TENT,66.0
lee2019,8,EEGNet,TENT,77.0
lee2019,9,EEGNet,TENT,84.0
lee2019,10,EEGNet,TENT,69.0
lee2019,11,EEGNet,TENT,56.5
lee2019,12,EEGNet,TENT,68.0
lee2019,13,EEGNet,TENT,62.0
lee2019,14,EEGNet,TENT,78.5
lee2019,15,EEGNet,TENT,53.0
