dataset,subject,backbone,method,acc,reference_acc,reference,delta
lee2019,7,EEGNet,TENT,66.0,62.5,Original,3.5
lee2019,8,EEGNet,TENT,77.0,76.5,Original,0.5
lee2019,9,EEGNet,TENT,84.0,81.5,Original,2.5
lee2019,10,EEGNet,TENT,69.0,58.0,Original,11.0
lee2019,11,EEGNet,TENT,56.5,57.0,Original,-0.5
lee2019,12,EEGNet,TENT,68.0,72.0,Original,-4.0
lee2019,13,EEGNet,TENT,62.0,54.5,Original,7.5
lee2019,14,EEGNet,TENT,78.5,77.0,Original,1.5
lee2019,15,EEGNet,TENT,53.0,53.5,Original,-0.5
lee2019,16,EEGNet,TENT,65.0,58.5,Original,6.5
lee2019,17,EEGNet,TENT,61.5,60.0,Original,1.5
lee2019,18,EEGNet,TENT,93.0,85.0,Original,8.0
lee2019,19,EEGNet,TENT,81.5,68.0,Original,13.5
lee2019,20,EEGNet,TENT,74.0,67.5,Original,6.5
lee2019,21,EEGNet,TENT,94.5,88.5,Original,6.0
lee2019,22,EEGNet,TENT,78.0,70.0,Original,8.0
lee2019,23,EEGNet,TENT,71.5,79.5,Original,-8.0
lee2019,24,EEGNet,TENT,57.5,59.5,Original,-2.0
lee2019,25,EEGNet,TENT,59.5,58.0,Original,1.5
lee2019,26,EEGNet,TENT,63.5,62.5,Original,1.0
lee2019,27,EEGNet,TENT,53.5,51.5,Original,2.0
lee2019,28,EEGNet,TENT,87.5,86.0,Original,1.5
