dataset,subject,method,acc
cho2017,41,EA+TENT,95.0
cho2017,41,EA+AdaBN,96.0
cho2017,41,EA+Snapshot+AdaBN,92.5
cho2017,41,EA+SupCon,96.0
cho2017,41,EA+SupCon+AdaBN,97.5
cho2017,41,EA+SupCon+CORAL,96.5
cho2017,42,Original,70.5
cho2017,42,EA,67.5
cho2017,42,EA+TENT,69.0
cho2017,42,EA+AdaBN,70.0
cho2017,42,EA+Snapshot+AdaBN,67.0
cho2017,42,EA+SupCon,66.0
cho2017,42,EA+SupCon+AdaBN,73.5
cho2017,42,EA+SupCon+CORAL,68.5
cho2017,43,Original,96.5
cho2017,43,EA,97.0
cho2017,43,EA+TENT,97.5
cho2017,43,EA+AdaBN,96.0
cho2017,43,EA+Snapshot+AdaBN,96.5
cho2017,43,EA+SupCon,97.5
cho2017,43,EA+SupCon+AdaBN,96.5
cho2017,43,EA+SupCon+CORAL,97.5
cho2017,44,Original,72.5
cho2017,44,EA,80.0
cho2017,44,EA+TENT,81.5
cho2017,44,EA+AdaBN,79.5
cho2017,44,EA+Snapshot+AdaBN,75.0
cho2017,44,EA+SupCon,78.0
cho2017,44,EA+SupCon+AdaBN,79.0
cho2017,44,EA+SupCon+CORAL,78.0
cho2017,45,Original,65.0
cho2017,45,EA,68.5
cho2017,45,EA+TENT,70.5
cho2017,45,EA+AdaBN,67.5
cho2017,45,EA+Snapshot+AdaBN,65.5
cho2017,45,EA+SupCon,71.0
cho2017,45,EA+SupCon+AdaBN,68.0
cho2017,45,EA+SupCon+CORAL,68.5
cho2017,46,Original,62.5
cho2017,46,EA,81.25
cho2017,46,EA+TENT,81.6667
cho2017,46,EA+AdaBN,79.5833
cho2017,46,EA+Snapshot+AdaBN,82.5
cho2017,46,EA+SupCon,75.0
cho2017,46,EA+SupCon+AdaBN,84.5833
cho2017,46,EA+SupCon+CORAL,79.5833
cho2017,47,Original,66.0
cho2017,47,EA,74.0
cho2017,47,EA+TENT,76.5
cho2017,47,EA+AdaBN,78.0
cho2017,47,EA+Snapshot+AdaBN,70.5
cho2017,47,EA+SupCon,74.0
cho2017,47,EA+SupCon+AdaBN,76.0
cho2017,47,EA+SupCon+CORAL,75.0
cho2017,48,Original,90.0
cho2017,48,EA,95.5
cho2017,48,EA+TENT,95.5
cho2017,48,EA+AdaBN,94.5
cho2017,48,EA+Snapshot+AdaBN,94.5
cho2017,48,EA+SupCon,95.0
cho2017,48,EA+SupCon+AdaBN,94.0
cho2017,48,EA+SupCon+CORAL,95.0
cho2017,49,Original,67.5
cho2017,49,EA,73.5
cho2017,49,EA+TENT,68.0
cho2017,49,EA+AdaBN,73.0
cho2017,49,EA+Snapshot+AdaBN,70.5
cho2017,49,EA+SupCon,78.0
cho2017,49,EA+SupCon+AdaBN,68.5
cho2017,49,EA+SupCon+CORAL,76.0
cho2017,50,Original,56.5
cho2017,50,EA,70.5
cho2017,50,EA+TENT,69.5
cho2017,50,EA+AdaBN,68.5
cho2017,50,EA+Snapshot+AdaBN,68.5
cho2017,50,EA+SupCon,70.0
cho2017,50,EA+SupCon+AdaBN,68.5
cho2017,50,EA+SupCon+CORAL,69.5
cho2017,51,Original,64.0
cho2017,51,EA,68.0
cho2017,51,EA+TENT,70.0
cho2017,51,EA+AdaBN,66.5
cho2017,51,EA+Snapshot+AdaBN,66.0
cho2017,51,EA+SupCon,67.0
cho2017,51,EA+SupCon+AdaBN,70.0
cho2017,51,EA+SupCon+CORAL,67.0
cho2017,52,Original,73.5
cho2017,52,EA,79.5
cho2017,52,EA+TENT,78.0
cho2017,52,EA+AdaBN,82.5
cho2017,52,EA+Snapshot+AdaBN,76.5
cho2017,52,EA+SupCon,81.0
cho2017,52,EA+SupCon+AdaBN,82.0
cho2017,52,EA+SupCon+CORAL,78.0
lee2019,1,Original,84.0
lee2019,1,EA,86.5
lee2019,1,EA+TENT,88.5
lee2019,1,EA+AdaBN,90.0
lee2019,1,EA+Snapshot+AdaBN,88.5
lee2019,1,EA+SupCon,86.5
lee2019,1,EA+SupCon+AdaBN,86.0
lee2019,1,EA+SupCon+CORAL,85.0
lee2019,2,Original,77.0
lee2019,2,EA,80.0
lee2019,2,EA+TENT,77.0
lee2019,2,EA+AdaBN,80.0
lee2019,2,EA+Snapshot+AdaBN,80.5
lee2019,2,EA+SupCon,78.0
lee2019,2,EA+SupCon+AdaBN,70.5
lee2019,2,EA+SupCon+CORAL,73.5
lee2019,3,Original,84.5
lee2019,3,EA,84.5
lee2019,3,EA+TENT,88.5
lee2019,3,EA+AdaBN,88.0
lee2019,3,EA+Snapshot+AdaBN,91.0
lee2019,3,EA+SupCon,84.5
lee2019,3,EA+SupCon+AdaBN,91.5
lee2019,3,EA+SupCon+CORAL,86.0
lee2019,4,Original,61.5
lee2019,4,EA,60.0
lee2019,4,EA+TENT,59.0
lee2019,4,EA+AdaBN,61.5
